Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
ABCAPITAL-I.NFO,12/09/2022,09:15:42,116.25,115.55,5400,116.15,5400,21600,23905800
ABCAPITAL-I.NFO,12/09/2022,09:15:42,115.55,115.55,5400,116.15,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,09:15:42,116.25,115.55,5400,116.15,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,09:15:42,115.55,115.55,5400,116.15,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,09:16:02,115.55,115.7,10800,116.1,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,09:16:22,115.55,115.85,10800,116.2,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,09:16:40,116.1,116,5400,116.2,5400,10800,23905800
ABCAPITAL-I.NFO,12/09/2022,09:16:56,116.15,116,5400,116.2,5400,10800,23905800
ABCAPITAL-I.NFO,12/09/2022,09:17:13,116.25,116.25,5400,116.4,5400,10800,23905800
ABCAPITAL-I.NFO,12/09/2022,09:17:31,116.1,116.05,5400,116.25,5400,16200,23916600
ABCAPITAL-I.NFO,12/09/2022,09:17:31,116.3,116.05,5400,116.25,5400,0,23916600
ABCAPITAL-I.NFO,12/09/2022,09:17:48,116.3,116.15,10800,116.35,5400,5400,23916600
ABCAPITAL-I.NFO,12/09/2022,09:18:05,116.3,116.15,10800,116.35,5400,0,23916600
ABCAPITAL-I.NFO,12/09/2022,09:18:25,116.15,115.95,5400,116.3,5400,10800,23916600
ABCAPITAL-I.NFO,12/09/2022,09:18:46,116.15,115.9,5400,116.3,5400,0,23916600
ABCAPITAL-I.NFO,12/09/2022,09:19:06,116.15,115.9,5400,116.15,5400,0,23916600
ABCAPITAL-I.NFO,12/09/2022,09:19:27,115.95,115.85,10800,116.05,5400,10800,23916600
ABCAPITAL-I.NFO,12/09/2022,09:19:47,116,115.9,5400,116,5400,10800,23916600
ABCAPITAL-I.NFO,12/09/2022,09:20:07,115.9,115.9,5400,116,10800,5400,23916600
ABCAPITAL-I.NFO,12/09/2022,09:20:28,116,115.85,5400,116.05,5400,5400,23916600
ABCAPITAL-I.NFO,12/09/2022,09:20:49,115.85,115.7,10800,115.9,5400,5400,23954400
ABCAPITAL-I.NFO,12/09/2022,09:21:09,115.85,115.7,5400,115.9,5400,5400,23954400
ABCAPITAL-I.NFO,12/09/2022,09:21:29,115.85,115.85,5400,115.9,5400,0,23954400
ABCAPITAL-I.NFO,12/09/2022,09:21:48,115.85,115.8,5400,115.95,5400,5400,23954400
ABCAPITAL-I.NFO,12/09/2022,09:22:07,115.85,115.85,5400,115.95,5400,0,23954400
ABCAPITAL-I.NFO,12/09/2022,09:22:26,115.85,115.7,5400,115.85,5400,16200,23954400
ABCAPITAL-I.NFO,12/09/2022,09:22:45,115.7,115.65,10800,115.85,10800,5400,23954400
ABCAPITAL-I.NFO,12/09/2022,09:23:03,115.7,115.65,10800,115.85,10800,0,23954400
ABCAPITAL-I.NFO,12/09/2022,09:23:23,115.7,115.8,5400,115.85,5400,0,23954400
ABCAPITAL-I.NFO,12/09/2022,09:23:42,115.85,115.7,5400,115.85,5400,5400,23981400
